อิเหี้ยออมทำกูอยากกินเอ็มเค,neg
เน็ตควายมากกูพูดจริงเสียดายตังค์ที่ติดตั้งเน็ตโครตห่วยยิ่งดึกๆเน็ตยิ่งห่วยตอนมาติดตั้งใหม่ๆก็ดีนานๆไปเเย่ขึ้นเรื่อยๆกากกว่าเน็ตค่ายอื่นอ่ะบอกจริงไม่สนหรอกว่าจะเป็นเด็กเเล้วเม้นด่าเเบบนี้ เเต่นี้หาตังค์จ่ายค่าเน็ตมาตลอดเหนื่อยน่ะเล่นเกมส์ไปเดี่ยวก็หายกากเกินติดตั้งโปรพิเศษ100Mเเต่พอวัดดูปล่อยไม่ถึงเท่าที่ตกลงกันไว้พอโทรไปเเจ้งก็ปล่อยมาเต็มไม่กี่วันก็เหมื่อนเดิมใบเเจ้งก็มาย้อนหลัง3เดือนทุกครั้งห่วยไปน่ะบางทีโปร100M/700 กว่าบาทเเต่คุณภาพเเย่เสียดายตังค์,neg
เหล้าเบลล์รสชาติเหี้ยสุด จะไม่แดกอีกละ,neg
ลิปมันของเเบร์น Mistine ราคากลาง ๆ ไม่แพงมาก ราคาสามารถเอื้อมถึงได้ #LASHESactivity,neg
ทำไมมันไม่มีโปรให้เร๊าาาาาา,neg
สมัยนี้เด็กอายุน้อยแต่สูงมีเยอะไปอดเลย,neg
นี่ก็เป็น ถ้าน้ำปกติกินเนดเล่ย์กับคริสตัลแต่น้ำแร่กินออร่ากับมิเนดเรย์บ้างสลับกัน ส่วนที่ไม่กินเลยคือสิงห์😂,neg
Nissan คงใกล้จบแล้วแน่ๆ,neg
มีเคส ประจานความห่วยของ พรบ.+กฏหมายละ ดังซะด้วย ไม่กี่ชั่วโมง นี่ออกโพสต์หลายเพจเลย อาจจะเป็นโอกาส...,neg
ขออนุญาติ ติบริการของพนักงานทางร้านด้วยค่ะ #mkสาขาโลตัสมีนบุรี การบริการแย่มากการรับออเดอร์ไม่สามมารถตอบคำถามที่ลูกค้าถามไปได้ ฉันถามพนักงานที่ชื่อสุวัฒน์ว่า ชุดแซ่บชีลมีอะไรบ้างเพื่อที่จะได้รู้รายการอารหาร เยอะมากรึน้อยเพื่อจะได้สั่งอาหาร #เพิ่ม พนักงานตอบกลับมาว่า ไม่ทราบคับผมไม่เคยกิน ซึ่งจริงๆๆแล้วการให้บริการของพนักงานต้องตอบคำถามเรื่องอาหารได้ดีไม่ใช่หรอค่ะ..?? (แต่การตอบคำถามแบบนี้เค้าเรียกว่าไรค่ะ) การวางชุดถ้วยชามวางกระแทกเสียงดังใส่ลูกค้า ไม่มีคำขอโทดชักสีหน้าใส่ไม่ยิ้มแย้ม....??(นี้คือการบริการใช่รึเปล่าค่ะ (คือจะมากินๆๆแบบอร่อยๆกับเจอพนักแบบนี้ความรู้สึกเหมือนไปทำไรผิดถึงต้องวางถ้วยจานกระแทกใส่แบบนี้ บนโต๊ะไม่มีชุดถ้วยจานเข้าใจค่ะว่าพึ่งเคลีย์โต๊ะเสร็จแต่การวางชุดถ้วยชามกระแทก) แบบนี้ไม่เข้าใจค่ะ รับออเดอร์ไม่ฟังลูกค้า ไม่ทวนราการอาหาร จดอาหารผิดทั้งทีไม่ได้สั่ง....ควรปรับปรุงยังไงกับพนักชื่อ #สุวัฒน์ค่ะ,neg
เบียร์สปายสเมอร์นอฟเป๊บซี่ ยังไง เข้าห้องน้ำสามรอบแร้ว,neg
ผู้เวลาไปถ่าย innisfree นี่งานดีชิบหายเบย,neg
เกลียดจริงๆลย พวกแบบขึ้น #BTS เวลาเบียดๆช่วงเวลาเร่งรีบ โดนตัวนิดหน่อยไม่ได้เลย ทำเป็นแหยง ปัดผมใส่ แม้กูอยากโดนตัวมึงมากเลยมั้ง รู้นิเวลาเร่งรีบใครๆก็อยากกลับบ้าน ถ้ามึงไม่อยากเบียดก็ไปนั่งรถส่วนตัวไป ทำเป็นดัดจริต ถ้าไม่ติดว่าไม่อยากมีเรื่องกุจะด่าแม่งบน #BTS แล้ว อีดอก,neg
เพื่อนถามโซจูอร่อยไหม?เหมือนเหล้าขาวไหม?นี่ไม่เคยกินเหล้าขาวแบบเพียวเลยบอกว่ารสชาตดีกว่าหงส์ทองเพียว เพื่อนแม่งไม่เคยกินเหล้าเพียวอีก โวะ,neg
แค่แถมเป๊ปซี่ เงื่อนไขเยอะมากเบย 55,neg
ลาบลุงน้อยนี่พวกเหี้ยเลิกคาบเช้า ยกแสงโสมไปกลมนึง น้ำแข็งฟรีน้ำเปล่าฟรี แดกตอนเที่ยงแล้วเมามาเรียนคาบบ่ายต่อ,neg
สมน้ำหน้ารัฐบาลไทย บอกว่าประเทศไทยเป็นเมืองพุทธ ชนทำบริษัทเบียร์ช้างไปจดทะเบียนที่สิงคาโปร เก็บภาษีสบายเลยส่วนประเทศไทยได้แต่นั่งดู,neg
อย่างลิปสติกไคลี่ 3ce อะไรแบบเนี้ยเห็นขายในตลาดแท่งละร้อยสามแท่งสองร้อยเงี้ย ถามจริงกล้าซื้อจริงๆหรอวะ ปากเธอนะ ปา…,neg
ช็อคที่ 1 Benz ขึ้นอันดับ 5 ชนะ มิตซู นิสสัน ฟอร์ด ช็อค 2 MG มาแรงมาก ช็อค 3 เข้าไปดู BMW ติดที่ 11 ปล chev หายสาบสูญ อันนี้ไม่ช็อค,neg
กินแลบปรกติสุขกันดีกว่า,neg
วันนี้ลองเมนูน้ำมะพร้าวอัญชันของเอ็มเค หวานมาก ไม่มีกลิ่นทั้งกลิ่นมะพร้าวและอัญชันเลยอะ,neg
กินแล้วค่ะนำ้ซุปเปรี้ยวไปหน่อยบางสาขานำ้ชาจืดไปนะ,neg
ไหนบอกจะเลิก,neg
ต่างประเทศเขาไปถึงไหนแล้ว ตร.ไทยแม่งยังยุในกะลา!!!!!,neg
ก้อนรีบปรับปรุงเลยนะ นี่กินประจำ แต่ตอนนี้ไม่กล้าอะมันนึกถึงภาพ 🤦‍♀️🤦‍♀️🤦‍♀️,neg
ลดพิเศษเเต่ของน้อยไม่ค่อยเติม,neg
ฮื้ออออ เค้าสับเพร่า เค้าสับเพร่าาาาา เค้าจ่ายเต็มมมมม แต่อร่อยเด้ออออ ฮื้อออ,neg
